Code,Title,CreditPoints
ARCT2000,Architecture Studio 2,12
ARCT2001,Architecture Studio 2,12
ARCT2010,Modern Architecture,6
ARCT2030,Materials and Small Constructions,6
ARCT2050,Environmental Design,6
ARCT3000,Architecture Studio 3,12
ARCT3001,Architecture Studio 3,12
ARCT3010,History and Theories of the Built Environment,6
ARCT3030,Materials and Large Construction,6
ARCT3040,Advanced Design Thinking,6
ARCT3050,Active Matter,6
ARCT4430,"Architectural Technology, Structures and Services",6
ARCT4440,Project Implementation and Documentation,6
ARCT4461,Architectural Practice,6
ARCT4585,Living Architecture,6
ARCT5010,Independent Research Part 1,6
ARCT5011,Independent Research Part 2,12
ARCT5101,Architecture Studio,12
ARCT5102,Architecture Studio 2,12
ARCT5201,Detailed Design Studio,12
ARCT5202,Detailed Design Studio 2,12
ARCT5301,Intensive Architecture Studio 1,12
ARCT5302,Intensive Studio 2,12
ARCT5502,Independent Design Research,12
ARCT5506,Conservation Planning in Practice,6
ARCT5507,Conservation Planning—Developed Research Project on Adaptive Reuse,6
ARCT5509,Practical Building Conservation—Developed Research Project on a Building Construction System,6
ARCT5510,Housing,6
ARCT5511,Utopia/Disaster and Imagining the City,6
ARCT5513,Near Future Scenarios for a New Architectural Era,6
ARCT5518,BIM Workflows,6
ARCT5520,Drawing Resilience,6
ARCT5521,Empowering Communities Through Design,6
ARCT5528,Delivering Good Design,6
ARCT5529,Forensic Architecture,6
ARCT5531,Suburban Cultures,6
ARCT5536,Photo Real Rendering,6
ARCT5555,Graduating Portfolio,6
ARCT5575,Practical Building Conservation,6
ARCT5576,Introduction to Architectural Conservation,6
ARCT5577,"Conservation in Cultural Landscapes, Historic Towns and Urban Precincts",6
ARCT5578,Building Pictures,6
ARCT5580,Advanced Architectural Animation,6
ARCT5581,Key Texts,6
ARCT5586,Australian Architecture in a Global Setting,6
ARCT5588,Westralian Architecture,6
ARCT5589,Furniture Design,6
ARCT5590,Architectural Studies,6
ARCT5592,Timber in Architecture,6
ARCT5593,Furniture: from prototype to production,6
ARCT5595,Digital Design Journal,6
ARCT5601,Architecture Studio 1,12
ARCT5602,Architecture Studio 2,12
ARCT5603,Architecture Studio 3,12
ARCT5701,Environmental Frameworks for Architecture,6
ARCT5801,Architectural Practice 1: Initiation,6
ARCT5802,Architectural Practice 2: Technology & Documents,6
ARCT5803,Architectural Practice 3: Realisation,6
ARCT5885,Bio-Based Materials in Global Settings,6
ARCY1001,Think Like an Archaeologist,6
ARCY1002,Experimenting with Archaeology,6
ARCY2000,"Think like a Neanderthal: The Archaeology of Human Origins, Rock Art, and Creativity",6
ARCY2006,Archaeology of Death,6
ARCY2100,Heritage Futures,6
ARCY2220,Doing Archaeology: Fieldschool,6
ARCY3003,Doing Archaeology: Analytical Skills,6
ARCY3011,"Australia in the Indo-Pacific: The last 65,000 years",6
ARCY3012,Australia in the Indo-Pacific: 500 years of Historical and Maritime Archaeology,6
ARCY3013,Archaeology for Professional Development,6
ARCY3024,Special unit: Doing Archaeology: Fieldschool,6
ARCY3100,Doing Archaeology: Advanced Fieldwork and Collections Research,6
ARCY4102,Archaeologists and Anthropologists at Work,6
ARCY4104,Advanced Methods in Archaeology,6
ARLA1030,Structures and Systems,6
ARLA1040,Techniques of Visualisation,6
ARLA4001,Design Research Part 1,12
ARLA4002,Design Research Part 2,12
ARLA4506,"Research Strategies in Landscape Architecture, Urban Design and Architecture",6
ARTF1052,"Fine Arts Studio: Record, Visualise & Imagine",6
ARTF1053,Digital Art and Object Making,6
ARTF1054,Drawing Foundations,6
ARTF2000,Curatorial Practices,6
ARTF2020,Moving Images,6
ARTF2021,Animation and Video,6
ARTF2030,BioArt,6
ARTF2031,Living Art,6
ARTF2040,Environmental and Biological Art,6
ARTF2041,Art in the Environment: Deep-Time Performance and Socially-Engaged Art,6
ARTF2053,Painting Studio,6
ARTF2054,"Drawing, Painting & Print Studio",6
ARTF2055,Photography and Printmaking studio,6
ARTF2270,(Inter)national Studio for Arts and Culture,6
ARTF3000,Advanced Studio,6
ARTF3020,Advanced Film: Immersive Cinematic Experiences,6
ARTF3030,Advanced Art and Biotechnologies,6
ARTF3040,Advanced Art and Environment,6
ARTF3050,Advanced Major Project,12
ARTF4001,Fine Arts Honours Seminar 1: Survey and Situate,6
ARTF4002,Fine Arts Honours Seminar 2: Critical Thought,6
ARTF4003,Fine Arts Honours Exegesis,12
ARTF4004,Fine Arts Honours Dissertation by Art Practice Part 1,12
ARTF4005,Fine Arts Honours Dissertation by Art Practice Part 2,12
ASIA1001,Asian Societies and Cultures,6
ASIA1002,Asia from Colonial to Modern,6
ASIA2001,"Culture, Society and the State in Asia",6
ASIA2002,Australia and Asia,6
ASIA2004,Popular Culture in Asia,6
ASIA3001,Indonesian Politics and Culture,6
ASIA3002,Issues in Japanese Society and Culture,6
ASIA3003,Social Issues in Contemporary China,6
ASIA3004,Gender and Power in Asia,6
ASIA3005,Autocracy and Democracy in Asia,6
ASIA3006,Contemporary Korean Society,6
ASIA5001,Key Debates in the Asian Region,6
AUST0015,Aboriginal Voices,6
AUST0063,Foundations of University Study,6
AUST0075,Foundations of Creative Writing,6
AUTO3002,Mechatronics,6
AUTO4507,Robot Manipulators and Automation,6
AUTO4508,Mobile Robots,6
BIOC1001,Introductory Cellular Biochemistry,6
BIOC2001,Biochemistry and Molecular Biology of the Cell,6
BIOC2002,Biochemical Regulation of Cell Function,6
BIOC3001,Molecular Biology,6
BIOC3002,Structural and Functional Biochemistry,6
BIOC3003,Omics—Global Approaches to Cell Function,6
BIOC3004,Nutritional Biochemistry,6
BIOC3005,Cellular Biochemistry,6
BIOC4001,Advanced Studies in Biochemistry and Molecular Biology,6
BIOC4002,Fundamentals of Biochemistry and Molecular Biology I,6
BIOC4003,Fundamentals of Biochemistry and Molecular Biology II,6
BIOC5001,Advanced Biochemistry and Molecular Biology Techniques,6
BIOL1130,Frontiers in Biology,6
BIOL1131,Plant and Animal Biology,6
BIOL2204,Marine Biology,6
BIOL2261,Conservation Biology,6
BIOL3305,Fisheries Science: Foundation and Application,6
BIOL3360,Saving Endangered Species,6
BIOL3364,Evolutionary Processes,6
BIOL4407,Marine Conservation and Fisheries Management,6
BIOL4408,Marine Ecology,6
BIOL4410,Environmental Genomics,6
BIOL4411,Marine Field Studies,6
BIOL4446,Honours in Biological Sciences Research Presentation Skills,6
BIOL5301,"Big Data, Modelling and Meta-analysis in Biology, Conservation and the Environment",6
BIOL5442,Honours in Biological Sciences Research Dissertation Part 1,6
BIOL5443,Honours in Biological Sciences Research Dissertation Part 2,6
BIOL5444,Honours in Biological Sciences Research Dissertation Part 3,6
BIOL5445,Honours in Biological Sciences Research Dissertation Part 5,6
BIOL5447,Honours in Biological Sciences Research Dissertation Part 4,6
BIOL5502,Managing Threatened Species and Ecological Communities,6
BIOL5504,Sex in the Sea,6
BIOL5542,Conservation Genetics,6
BIOL5552,Masters in Biological Sciences  Research Dissertation Part 1,6
BIOL5553,Masters in Biological Sciences Research Dissertation Part 2,6
BIOL5554,Masters in Biological Sciences Research Dissertation Part 3,6
BIOL5555,Masters in Biological Sciences Research Dissertation Part 5,6
BIOL5556,Masters in Biological Sciences Research Presentation Skills,6
BIOL5557,Masters in Biological Sciences Research Dissertation Part 4,6
BIOX0001,Foundation Biology,6
BLDG5000,BIM Authors,6
BLDG5001,BIM Authors Online,6
BLDG5050,BIM Dynamo,6
BLDG5051,BIM Dynamo Online,6
BLDG5100,BIM Dimensions,6
BLDG5101,BIM Dimensions Online,6
BLDG5200,Digital Site,6
BLDG5201,Digital Site Online,6
BLDG5300,BIM Sustainability,6
BLDG5301,BIM Sustainability Online,6
BLDG5500,BIM Network Teams,6
BLDG5501,BIM Network Teams Online,6
BLDG5700,BIM Manager,6
BLDG5701,BIM Manager Online,6
BLDG5800,Major Project,12
BLDG5801,Major Project Online,12
BMED2001,Humanities in Health and Medicine,6
BMED3001,"Narrative Medicine for research, education and practice",6
BMED3002,Application of Humanities to Health care,6
BMED3003,Building the bridge while walking over it: the journey to person centred health care,6
BMED4001,Literature Review and Research Proposal in Biomedical Sciences,6
BMED4002,Research Communication in Biomedical Sciences Part 1,6
BMED4003,Medical Research Thesis Part 1,6
BMED4004,"Research Ethics, Rationale and Design",6
BMED4005,Research Communication in Biomedical Sciences Part 2,6
BMED4006,Medical Research Thesis Part 2,18
BMED4007,Medical Research Project Part 3,6
BMED4008,Medical Research Project Part 4,6
BMED5001,Biodesign Medical Technology Innovation,6
BMEG3001,Engineering and the Human Body,6
BMEG3002,Biomaterials,6
BMEG4001,Biomedical Instrumentation,6
BMEG4002,Biomaterials,6
BMEG4003,Biomechanics,6
BMEG5001,Advanced Topics in Biomedical Engineering,6
BMEG5551,Biomedical Engineering Design Project 1,6
BMEG5552,Biomedical Engineering Design Project 2,6
BUSN0001,Business Literacy,6
BUSN0002,Critical Thinking and Reasoning,6
BUSN0003,Applied Business Communication,6
BUSN0004,Introductory Mathematics,6
BUSN1103,Foundations of Global Business,6
BUSN1104,"Business Communication for Change, Influence and Impact",6
BUSN1200,Data Analytics for Business,6
BUSN2001,Data Storytelling for Business,6
BUSN2102,"Changing the World: Social Innovation, Finance and Enterprise",6
BUSN3001,Business Development Project,6
BUSN3002,Asia Literacy and Business Engagement,6
BUSN3020,Innovation and Startup Practice,6
BUSN4331,Dissertation (Business Analytics) Part 1,6
BUSN4332,Dissertation (Business Analytics) Part 2,6
BUSN4333,Dissertation (Business Analytics) Part 3,6
BUSN4334,Dissertation (Business Analytics) Part 4,6
BUSN4401,Qualitative Business Research Methods,6
BUSN4402,Quantitative Business Research Methods,6
BUSN4403,Business Research Methodology,6
BUSN4441,Dissertation (Business Management) Part 1,6
BUSN4442,Dissertation (Business Management) Part 2,6
BUSN4443,Dissertation (Business Management) Part 3,6
BUSN4444,Dissertation (Business Management) Part 4,6
BUSN4551,Dissertation (Enterprise and Innovation) Part 1,6
BUSN4552,Dissertation (Enterprise and Innovation) Part 2,6
BUSN4553,Dissertation (Enterprise and Innovation) Part 3,6
BUSN4554,Dissertation (Enterprise and Innovation) Part 4,6
BUSN4661,Dissertation (Global Business) Part 1,6
BUSN4662,Dissertation (Global Business) Part 2,6
BUSN4663,Dissertation (Global Business) Part 3,6
BUSN4664,Dissertation (Global Business) Part 4,6
BUSN5000,Leading Self and Others,0
BUSN5001,Blockchain and Distributed Ledger Technologies in Business,6
BUSN5002,Fundamentals of Business Analytics,6
BUSN5003,Data Storytelling,6
BUSN5007,Business Analytics Industry Project,12
BUSN5100,Applied Professional Business Communications,6
BUSN5101,Programming for Business,6
BUSN5506,Business Research Project,6
BUSN5900,Effective Business Communications,6
BUSN5901,Blockchain Applications in Business,6
BUSN5902,Applied Economic Analytics,6
BUSN5903,Text-to-Data Analytics,6
BUSN5907,Business Analytics International Industry Project,12
CARS1000,Communication and Research Skills,0
CARS4000,Communication and Research Skills,0
CHEM0038,Foundations of Chemistry,6
CHEM1001,Chemistry—Properties and Energetics,6
CHEM1002,Chemistry—Structure and Reactivity,6
CHEM1003,Introductory Chemistry,6
CHEM2001,Core Chemical Concepts and Techniques,6
CHEM2002,Physical and Analytical Chemistry,6
CHEM2003,Chemical Synthesis,6
CHEM2004,The Chemistry of Reactions,6
CHEM2005,The Molecules of Life,6
CHEM2101,Analytical Methods,6
CHEM2102,Metals in Molecules,6
CHEM2103,Synthetic and Biological Organic Chemistry,6
CHEM2104,Energy and Materials,6
CHEM3001,Essential Chemical Skills,6
CHEM3002,Chemical Explorations,6
CHEM3003,Advanced Chemical Synthesis,6
CHEM3004,Modern Methods in Organic Chemistry,6
CHEM3005,Chemical Spectroscopy and Structure,6
CHEM3006,Chemistry Beyond the Laboratory,6
CHEM3101,Workplace Safety and Advanced Analytical Methods,6
CHEM3102,Chemistry: A Global View,6
CHEM3103,Organometallic Chemistry,6
CHEM3104,Organic Chemistry,6
CHEM3105,Advanced Materials,6
CHEM3391,Chemistry Research Part 1,12
CHEM3392,Chemistry Research Part 2,12
CHEM4001,Advanced Studies in Chemistry,6
CHEX0003,Foundation Chemistry,6
CHEX1001,Chemistry—Properties and Energetics,6
CHEX1002,Chemistry Structure and Reactivity,6
CHEX1003,Introductory Chemistry,6
CHIN1001,Chinese 3A,6
CHIN1003,Translation: English to Chinese,6
CHIN1401,Chinese 1,6
CHIN1402,Chinese 2,6
CHIN1403,Chinese 3,6
CHIN1404,Chinese 4,6
CHIN1405,Chinese 5,6
CHIN1406,Chinese 6,6
CHIN2001,Chinese 3A,6
CHIN2004,Translation: Chinese to English,6
CHIN2403,Chinese 3,6
CHIN2404,Chinese 4,6
CHIN2405,Chinese 5,6
CHIN2406,Chinese 6,6
CHIN2407,Chinese 7,6
CHIN2408,Chinese 8,6
CHIN2801,China Field Study,6
CHIN3405,Chinese 5,6
CHIN3406,Chinese 6,6
CHIN3407,Chinese 7,6
CHIN3408,Chinese 8,6
CHIN3409,Chinese 9: Understanding the Chinese State,6
CHIN3410,Chinese 10: Understanding Chinese Society,6
CHPR1005,Mass and Energy Balances,6
CHPR2006,Chemical Engineering Thermodynamics,6
CHPR2007,Heat and Mass Transfer,6
CHPR2018,Process Synthesis and Design 1,6
CHPR2022,Solutions for Sustainable Future Energy,6
CHPR3018,Process Synthesis and Design 2,6
CHPR3019,Unit Operations,6
CHPR3404,Advanced Thermodynamics and Mass Transfer Processes,6
CHPR3405,Particle Technology,6
CHPR3406,Reaction Engineering,6
CHPR3407,Transport Phenomena,6
CHPR4404,Advanced Thermodynamics and Mass Transfer Processes,6
CHPR4405,Particle Technology,6
CHPR4406,Reaction Engineering,6
CHPR4407,Transport Phenomena,6
CHPR4408,Chemical and Thermal Renewable Energies,6
CHPR4501,Advanced Reaction Engineering and Catalysts,6
CHPR5501,Advanced Reaction Engineering and Catalysts,6
CHPR5520,Combustion Science and Technology,6
CHPR5521,Flow Assurance for Future Energy,6
CHPR5522,Gas Processing Technologies,6
CHPR5550,Chemical Engineering Design Project,12
CHPR5809,Field Development Project,6
CHPX1005,Mass and Energy Balances,6
CITS1001,Software Engineering with Java,6
CITS1003,Introduction to Cybersecurity,6
CITS1401,Computational Thinking with Python,6
CITS1402,Relational Database Management Systems,6
CITS1501,Introduction to Programming with Python,6
CITS2002,Systems Programming,6
CITS2005,Object Oriented Programming,6
CITS2006,Defensive Cybersecurity,6
CITS2200,Data Structures and Algorithms,6
CITS2211,Discrete Structures,6
CITS2401,Computer Analysis and Visualisation,6
CITS2402,Introduction to Data Science,6
CITS3001,Advanced Algorithms,6
CITS3002,Computer Networks,6
CITS3003,Graphics and Animation,6
CITS3005,Knowledge Representation,6
CITS3006,Penetration Testing,6
CITS3007,Secure Coding,6
CITS3009,Computer Science WIL Internship,6
CITS3011,Intelligent Agents,6
CITS3200,Professional Computing,6
CITS3301,Software Requirements and Design,6
CITS3401,Data Warehousing,6
CITS3402,High Performance Computing,6
CITS3403,Agile Web Development,6
CITS3501,Software Testing and Quality Assurance,6
CITS4001,Computer Science and Software Engineering Research Project Part 1,12
CITS4002,Computer Science and Software Engineering Research Project Part 2,12
CITS4008,Scientific Communication,6
CITS4009,Computational Data Analysis,6
CITS4010,Computer Science Honours Research Project Part 1,12
CITS4011,Computer Science Honours Research Project Part 2,12
CITS4012,Natural Language Processing,6
CITS4401,Software Requirements and Design,6
CITS4402,Computer Vision,6
CITS4403,Computational Modelling,6
CITS4404,Artificial Intelligence and Adaptive Systems,6
CITS4407,Open Source Tools and Scripting,6
CITS4419,Mobile and Wireless Computing,6
CITS5011,Data Science Research Project Part 1,6
CITS5012,Data Science Research Project Part 2,6
CITS5013,Data Science Research Project Part 3,12
CITS5014,Data Science Research Project Part 1,6
CITS5015,Data Science Research Project Part 2,6
CITS5016,CISSP Certification,6
CITS5017,Deep Learning,6
CITS5206,Information Technology Capstone Project,6
CITS5501,Software Testing and Quality Assurance,6
CITS5502,Software Processes,6
CITS5503,Cloud Computing,6
CITS5504,Data Warehousing,6
CITS5505,Agile Web Development,6
CITS5506,The Internet of Things,6
